,src_sent,pred_sent,reference_nbv,bleu_score
0,"""E será que todo aquele que ficar de resto da tua casa virá a inclinar-se diante dele, por uma moeda de prata e por um bocado de pão, e dirá: Rogo-te que me admitas a algum ministério sacerdotal, para que possa comer um pedaço de pão.""
","""O restante da sua casa virá de um bocado dele, diante de prata e por um pedaço de prata e por um pedaço de prata e por que me possa comer um pedaço de prata de bronze de bronze e pão.""
","""Então, todos os seus descendentes se curvarão diante dele, mendigando dinheiro e alimento. ‘Por favor’, eles implorarão, ‘arranje-me um trabalho entre os sacerdotes, de maneira que eu tenha pelo menos o que comer’ ”.""
",1.5378421668191946
1,"""Depois, tomarás um carneiro, e Arão e seus filhos porão as mãos sobre a cabeça do carneiro,""
","""“Depois faça um carneiro. Arão e seus filhos colocarão as mãos do carneiro,""
","""“Depois traga um dos carneiros, e Arão e seus filhos colocarão as mãos sobre a cabeça dele.""
",33.39134097432895
2,"""E a fome era gravíssima na terra.""
","""e a fome era muito difícil para a terra.""
","""A fome persistia e se tornava cada vez pior na terra.""
",8.486112554897568
3,"""Vós, todos os habitantes do mundo, e vós, os moradores da terra, quando se arvorar a bandeira nos montes, o vereis; e, quando se tocar a trombeta, o ouvireis.""
","""O povo de todos os habitantes da terra, quando vocês se tocar no meio de toda a sua bandeira e se tocar na sua trombeta, quando tocar na sua ira.""
","""Quando a bandeira de guerra tremular sobre a montanha, todos os povos do mundo devem prestar atenção! Quando soar a trombeta, todos devem ouvir!""
",1.9973527829403486
4,"""Até o seu amor, o seu ódio e a sua inveja já pereceram e já não têm parte alguma neste século, em coisa alguma do que se faz debaixo do sol.""
","""Até o seu amor fiel e a sua inveja e a sua inveja já não têm mais neste tempo neste tempo neste tempo do que isso possa debaixo do sol.""
","""Para eles, o amor, o ódio e a inveja há muito já passaram. Eles já não têm nada a ver com o que acontece debaixo do sol.""
",17.37962036917726
5,"""os quais, por castigo, padecerão eterna perdição, ante a face do Senhor e a glória do seu poder,""
","""porque logo por meio de castigo, ele padecerão castigo, o Senhor e a glória do seu próprio seu povo.""
","""Eles serão castigados numa destruição eterna, expulsos para sempre da presença do Senhor e da glória do seu poder""
",5.538696232597744
6,"""então, abre os ouvidos dos homens, e lhes sela a sua instrução,""
","""o ouvidos dos homens se reunia de ter sido libertado.""
","""Nessas horas, Deus faz o homem ouvir seus ensinos e o aterroriza com advertências,""
",1.3919212131108496
7,"""Mas, nos profetas de Jerusalém, vejo uma coisa horrenda: cometem adultérios, e andam com falsidade, e esforçam as mãos dos malfeitores, para que não se convertam da sua maldade; eles têm-se tornado para mim como Sodoma, e os moradores dela, como Gomorra.""
","""Mas o povo de Jerusalém, não se lembra de Jerusalém, e não se tornem escravos dos difamarem por meio de tristeza. Não se se lembra de não ser Sodoma, como se não tivesse se Gomorra.""
","""Entre os profetas de Jerusalém vi algo horrível: Eles traem as esposas e vivem uma mentira. Apoiam quem pratica a maldade, em vez de fazer os pecadores se arrependerem de seus pecados. Esses falsos profetas são, para mim, tão pecadores como os moradores de Sodoma; e o povo de Jerusalém é como os moradores de Gomorra”.""
",5.178818473275904
8,"""Assim diz o Senhor JEOVÁ: Um mal, eis que um só mal vem.""
","""Assim diz o Soberano, o SENHOR: Os meus planos violentos estão comigo.""
","""Assim diz o Soberano, o SENHOR: “Os castigos virão um atrás do outro.""
",48.97532620381683
9,"""E os filhos de Jônatas foram Pelete e Zaza; estes foram os filhos de Jerameel.""
","""Os filhos de Jônatas foram: filhos de Jônatas foram: filhos de Jerameel.""
","""Os filhos de Jônatas foram: Pelete e Zaza. Todos esses foram descendentes de Jerameel.""
",45.090228049186024
